                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.36503,                0.71965,                0.86244,                0.82238,                0.74614,                0.87107,                0.82092,                 0.3484,                 1.3358,                0.82796,               0.003268,               0.003268,               0.003268
                     36,                0.33733,                0.66981,                0.85191,                0.83106,                0.72733,                0.82856,                0.79246,                0.31285,                 1.4038,                0.81833,                0.00307,                0.00307,                0.00307
                     37,                0.36144,                0.65928,                0.84503,                0.83119,                0.78992,                0.85615,                0.81891,                0.32956,                 1.3446,                0.83076,               0.002872,               0.002872,               0.002872
                     38,                0.35087,                0.66361,                0.85079,                0.83707,                0.73327,                 0.8458,                0.80664,                0.31775,                 1.3077,                 0.8332,               0.002674,               0.002674,               0.002674
                     39,                0.31191,                 0.6113,                0.82011,                0.82143,                0.68985,                0.85231,                0.81558,                0.32513,                 1.3823,                0.82667,               0.002476,               0.002476,               0.002476
                     40,                 0.2794,                0.61836,                0.81628,                0.80801,                 0.5909,                0.77037,                0.72038,                0.34944,                 1.6451,                0.81816,               0.002278,               0.002278,               0.002278
                     41,                0.27309,                 0.6064,                0.78069,                 0.8037,                 0.6072,                0.74747,                0.70094,                0.33023,                 1.7145,                0.81089,                0.00208,                0.00208,                0.00208
                     42,                0.24032,                0.60006,                0.75699,                0.79829,                0.68659,                0.82222,                0.78597,                0.30647,                 1.4873,                0.80936,               0.001882,               0.001882,               0.001882
                     43,                 0.2525,                 0.5395,                0.78098,                0.80927,                0.78747,                0.88624,                0.84367,                0.30592,                  1.243,                0.80221,               0.001684,               0.001684,               0.001684
                     44,                0.25092,                0.54583,                0.78698,                0.80256,                0.77651,                0.86528,                 0.8081,                0.33753,                 1.3253,                 0.8029,               0.001486,               0.001486,               0.001486
                     45,                0.24594,                0.55848,                0.79674,                0.88265,                0.84445,                0.95994,                0.91235,                0.29866,                0.85804,                0.79179,               0.001288,               0.001288,               0.001288
                     46,                0.22858,                0.52895,                0.78253,                 0.8679,                0.95666,                0.96458,                0.93837,                0.28059,                0.71745,                0.78855,                0.00109,                0.00109,                0.00109
                     47,                0.22805,                0.53816,                 0.7887,                0.89214,                0.93194,                0.95436,                 0.9231,                 0.2754,                0.69461,                0.78355,               0.000892,               0.000892,               0.000892
                     48,                 0.2253,                0.53386,                0.79576,                0.85906,                0.94705,                0.95392,                0.92753,                0.26294,                 0.7053,                0.78404,               0.000694,               0.000694,               0.000694
                     49,                0.22287,                0.53216,                0.76868,                0.84426,                0.96268,                0.95738,                0.93034,                0.25747,                0.72616,                0.78614,               0.000496,               0.000496,               0.000496
