                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.57831,                  3.221,                 1.0146,                0.00804,                0.97222,                0.23049,                0.19207,                 0.3309,                 3.0272,                0.85736,                 0.0991,                 0.0001,                 0.0001
                      1,                0.58005,                 3.2656,                0.97934,                0.00805,                0.97222,                0.23374,                 0.1957,                 0.3262,                 3.0272,                0.85449,               0.097296,             0.00029604,             0.00029604
                      2,                0.63574,                 3.3344,                  1.045,                0.00808,                0.97222,                 0.2454,                0.20837,                 0.3331,                 3.0278,                0.85678,               0.095487,              0.0004868,              0.0004868
                      3,                0.51591,                 3.2109,                0.97542,                0.00817,                0.97222,                0.29466,                0.25165,                0.32302,                  3.005,                0.84459,               0.093672,             0.00067228,             0.00067228
                      4,                0.49938,                 3.1304,                 0.9695,                0.00824,                0.98611,                0.39123,                0.32368,                0.36339,                 2.9802,                0.84153,               0.091852,             0.00085248,             0.00085248
                      5,                0.42627,                  2.944,                 0.9267,                0.00822,                0.98611,                0.42678,                0.35363,                 0.3428,                 2.9616,                  0.839,               0.090027,              0.0010274,              0.0010274
                      6,                0.42773,                 2.8642,                0.91829,                0.00835,                      1,                0.48402,                0.43581,                0.30459,                 2.9095,                0.81649,               0.088197,               0.001197,               0.001197
                      7,                0.50427,                 2.5361,                0.98757,                0.00839,                      1,                0.52468,                0.47375,                0.33527,                 2.8408,                0.81654,               0.086361,              0.0013614,              0.0013614
                      8,                0.40946,                 2.2237,                 0.9334,                 0.0085,                      1,                0.57044,                0.50999,                0.35722,                  2.737,                0.82264,                0.08452,              0.0015205,              0.0015205
                      9,                0.41729,                 1.9321,                0.90965,                0.00854,                      1,                 0.5617,                0.51515,                0.35148,                 2.6611,                0.82265,               0.082674,              0.0016743,              0.0016743
                     10,                0.43804,                  1.755,                0.91606,                0.00856,                      1,                0.60676,                0.57267,                0.35651,                 2.5896,                0.83048,               0.080823,              0.0018228,              0.0018228
                     11,                0.41463,                 1.7295,                0.95173,                 0.0088,                      1,                0.62095,                 0.5889,                0.32386,                 2.5959,                0.80248,               0.078966,               0.001966,               0.001966
                     12,                0.41967,                 1.5771,                0.88799,                 0.0084,                      1,                0.54842,                0.46587,                0.42056,                  2.644,                0.82398,               0.077104,               0.002104,               0.002104
                     13,                0.40612,                 1.4933,                0.86025,                0.00834,                      1,                0.56765,                0.50114,                0.38587,                 2.6425,                0.81984,               0.075237,              0.0022367,              0.0022367
                     14,                0.41908,                  1.467,                0.85816,                0.00834,                      1,                0.58752,                0.51999,                0.38548,                 2.5947,                0.82133,               0.073364,              0.0023641,              0.0023641
                     15,                0.40994,                  1.542,                0.89602,                0.00844,                      1,                0.56347,                 0.5317,                0.32975,                 2.5477,                0.80684,               0.071486,              0.0024862,              0.0024862
                     16,                0.46824,                 1.4432,                0.90845,                0.00839,                      1,                0.59872,                0.55385,                 0.3531,                 2.4994,                0.81073,               0.069603,               0.002603,               0.002603
                     17,                0.44724,                 1.3697,                0.90433,                0.00856,                      1,                0.64097,                  0.606,                0.30947,                 2.4282,                 0.8011,               0.067715,              0.0027146,              0.0027146
                     18,                0.41819,                 1.3688,                0.88686,                0.00875,                      1,                0.63092,                0.55857,                0.41793,                 2.4055,                0.81349,               0.065821,              0.0028209,              0.0028209
                     19,                0.36797,                 1.3546,                0.86255,                0.46821,                      1,                0.61554,                 0.5423,                0.41806,                 2.3905,                0.81243,               0.063922,              0.0029219,              0.0029219
                     20,                0.46057,                 1.2696,                0.88361,                0.47532,                      1,                0.61204,                0.55402,                0.31811,                 2.3678,                0.80096,               0.062018,              0.0030176,              0.0030176
                     21,                0.39754,                  1.279,                 0.8618,                0.00842,                      1,                0.61374,                0.56682,                0.35134,                 2.4352,                0.80944,               0.060108,               0.003108,               0.003108
                     22,                0.42865,                 1.2453,                0.89261,                0.47781,                  0.975,                0.62874,                0.57696,                 0.3977,                 2.2435,                0.80798,               0.058193,              0.0031932,              0.0031932
                     23,                0.40393,                 1.1175,                0.85954,                0.85854,                0.40278,                0.66095,                0.62631,                0.36931,                 2.0879,                0.80409,               0.056273,              0.0032731,              0.0032731
                     24,                0.38955,                 1.1381,                0.87926,                0.84344,                0.47222,                0.68686,                0.62927,                0.39516,                 1.9881,                0.80568,               0.054348,              0.0033477,              0.0033477
                     25,                0.39702,                 1.0316,                0.88535,                0.94667,                0.40278,                0.74504,                 0.6899,                 0.3594,                 2.1004,                0.79948,               0.052417,               0.003417,               0.003417
                     26,                0.39755,                 1.1073,                0.88159,                0.84602,                0.44444,                0.68673,                0.65107,                0.32756,                 2.1568,                0.79764,               0.050481,               0.003481,               0.003481
                     27,                0.38598,                  1.069,                0.85967,                0.89814,                0.43439,                0.74336,                0.69222,                0.37501,                 2.0419,                0.80775,                0.04854,              0.0035398,              0.0035398
                     28,                0.43512,                0.93187,                 0.9015,                0.89963,                0.50137,                0.84617,                0.78959,                0.34483,                 1.9902,                0.80483,               0.046593,              0.0035933,              0.0035933
                     29,                0.34572,                0.86001,                0.85727,                0.90551,                0.62754,                0.85786,                0.80146,                0.34816,                 1.8852,                0.80278,               0.044641,              0.0036415,              0.0036415
                     30,                0.33079,                 0.8342,                0.85912,                0.86238,                0.59373,                0.85456,                0.79062,                0.36087,                 1.8214,                0.79936,               0.042684,              0.0036844,              0.0036844
                     31,                 0.3736,                0.86635,                0.85752,                0.91344,                0.43056,                0.71338,                0.65081,                0.35748,                 1.8328,                0.79506,               0.040722,               0.003722,               0.003722
                     32,                  0.343,                0.78344,                0.86726,                0.81923,                0.49061,                0.76476,                0.70986,                0.39214,                 1.7115,                0.79869,               0.038754,              0.0037544,              0.0037544
                     33,                0.39912,                0.74717,                0.86817,                0.80759,                    0.5,                0.64692,                0.58956,                0.37494,                 1.9331,                0.79841,               0.036781,              0.0037815,              0.0037815
                     34,                0.39471,                0.83343,                 0.8732,                0.83145,                0.49168,                0.71601,                0.67522,                0.35385,                 1.8834,                 0.7973,               0.034803,              0.0038033,              0.0038033
                     35,                0.39714,                0.78359,                0.87515,                0.87211,                0.69158,                0.89205,                0.85402,                0.34024,                 1.7132,                0.79943,                0.03282,              0.0038198,              0.0038198
                     36,                0.36037,                0.72369,                0.84314,                0.86557,                 0.6157,                0.80066,                0.75246,                0.35581,                 1.7537,                 0.7972,               0.030831,               0.003831,               0.003831
                     37,                0.41186,                0.77103,                0.86888,                0.83028,                0.59358,                0.80441,                0.76421,                0.33939,                   1.77,                0.79168,               0.028837,               0.003837,               0.003837
                     38,                0.36509,                0.71451,                0.86383,                0.81239,                0.57106,                0.81301,                0.77199,                0.34658,                 1.7083,                 0.8031,               0.026838,              0.0038377,              0.0038377
                     39,                0.35434,                0.67219,                0.83946,                0.87907,                 0.7611,                0.91811,                0.84066,                 0.4119,                 1.3177,                0.81807,               0.024833,              0.0038331,              0.0038331
                     40,                0.37561,                0.65772,                0.84816,                0.86573,                0.74783,                0.91691,                0.85724,                0.34464,                 1.4791,                  0.813,               0.022823,              0.0038232,              0.0038232
                     41,                0.38555,                0.69076,                0.86711,                0.82361,                0.80037,                0.86878,                0.80791,                0.38982,                 1.3294,                0.81716,               0.020808,               0.003808,               0.003808
                     42,                0.32495,                0.71543,                 0.8606,                0.86845,                0.79722,                0.90764,                0.84085,                0.40154,                 1.1865,                0.82991,               0.018788,              0.0037876,              0.0037876
                     43,                0.39715,                0.66247,                0.85006,                0.87919,                0.78128,                0.88963,                0.81014,                0.42799,                 1.2154,                 0.8263,               0.016762,              0.0037619,              0.0037619
                     44,                0.38412,                0.69692,                0.83841,                0.81149,                0.64811,                 0.8896,                0.82324,                0.35677,                 1.4249,                0.81928,               0.014731,              0.0037309,              0.0037309
                     45,                0.37988,                0.64696,                0.86059,                0.77685,                0.93269,                0.92841,                0.87745,                0.34777,                0.96426,                0.79742,               0.012695,              0.0036946,              0.0036946
                     46,                0.36209,                0.69182,                0.86334,                  0.882,                0.92462,                0.95438,                0.88938,                0.35906,                0.93103,                0.79853,               0.010653,               0.003653,               0.003653
                     47,                0.35521,                0.61332,                0.82855,                0.83109,                0.82755,                0.93694,                0.84595,                0.44749,                 1.0515,                0.82976,              0.0086062,              0.0036062,              0.0036062
                     48,                0.37216,                0.66307,                0.85246,                0.68297,                0.78185,                0.87967,                0.81916,                0.37246,                 1.5016,                0.83053,              0.0065541,              0.0035541,              0.0035541
                     49,                0.34563,                0.62111,                0.85729,                0.80781,                0.71111,                0.82908,                0.77179,                0.38116,                 1.4549,                 0.8268,              0.0044967,              0.0034967,              0.0034967
                     50,                0.34819,                0.74852,                0.86939,                0.79128,                0.88056,                0.90785,                0.85406,                 0.3713,                 1.1948,                0.82343,                 0.0034,                 0.0034,                 0.0034
