                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.31499,                0.61238,                0.83373,                0.78938,                0.88056,                0.90825,                  0.823,                0.41408,                 1.0991,                0.83487,                 0.0034,                 0.0034,                 0.0034
                     52,                0.37346,                 0.6687,                0.84978,                0.58821,                  0.525,                0.70849,                0.64512,                0.39429,                 1.6454,                0.82796,               0.003268,               0.003268,               0.003268
                     53,                0.36221,                0.60381,                0.86577,                0.88495,                0.85066,                0.91569,                0.85027,                0.37089,                0.98196,                0.83236,               0.003136,               0.003136,               0.003136
                     54,                0.36752,                 0.6072,                0.87098,                0.80042,                0.78902,                0.80252,                0.74521,                  0.368,                 1.3067,                0.83943,               0.003004,               0.003004,               0.003004
                     55,                0.34049,                0.56785,                0.84992,                 0.7391,                0.64843,                0.73954,                0.67611,                0.42906,                 1.5067,                0.84013,               0.002872,               0.002872,               0.002872
                     56,                0.32056,                0.58577,                 0.8611,                0.81661,                0.53959,                0.57779,                0.54241,                 0.3612,                 1.8819,                0.81856,                0.00274,                0.00274,                0.00274
                     57,                0.38392,                0.62463,                0.89313,                0.79569,                0.55415,                0.66979,                0.62463,                0.32469,                 1.6949,                0.79342,               0.002608,               0.002608,               0.002608
                     58,                0.30489,                0.55976,                0.84499,                 0.8807,                0.74624,                0.87685,                0.82628,                0.31681,                  1.122,                0.79122,               0.002476,               0.002476,               0.002476
                     59,                 0.3809,                0.62979,                0.88878,                0.93407,                0.86062,                0.95125,                0.90138,                0.32679,                0.73358,                0.79524,               0.002344,               0.002344,               0.002344
                     60,                0.32508,                0.59763,                0.84549,                0.85751,                0.88785,                0.94733,                0.90749,                0.32232,                0.74218,                0.79241,               0.002212,               0.002212,               0.002212
                     61,                0.31815,                0.55719,                0.84967,                0.85496,                0.94755,                0.96166,                0.92133,                0.32282,                0.66147,                0.78726,                0.00208,                0.00208,                0.00208
                     62,                0.33789,                0.58984,                0.84922,                0.82542,                0.89764,                0.95255,                0.92104,                0.28978,                0.71372,                0.78553,               0.001948,               0.001948,               0.001948
                     63,                0.33183,                0.54928,                  0.876,                0.85356,                0.88937,                0.95013,                 0.9008,                0.31475,                0.80302,                0.78545,               0.001816,               0.001816,               0.001816
                     64,                0.32376,                0.58471,                0.86786,                0.84683,                0.84666,                0.92835,                0.88705,                0.30717,                0.87792,                 0.7862,               0.001684,               0.001684,               0.001684
                     65,                0.25638,                0.48237,                0.80953,                0.83309,                0.79881,                 0.9061,                0.85931,                0.31794,                 1.0443,                0.78734,               0.001552,               0.001552,               0.001552
                     66,                 0.2405,                0.52123,                0.79931,                  0.844,                0.83331,                0.91664,                0.87863,                   0.29,                0.98448,                 0.7866,                0.00142,                0.00142,                0.00142
                     67,                0.23079,                 0.4797,                0.77059,                0.85651,                0.83542,                0.91564,                0.87252,                0.28914,                0.94491,                0.78459,               0.001288,               0.001288,               0.001288
                     68,                0.22223,                0.44856,                0.76695,                0.85405,                0.84721,                0.93344,                0.89694,                0.28827,                0.87179,                 0.7841,               0.001156,               0.001156,               0.001156
                     69,                0.23787,                0.46113,                0.78927,                0.85135,                0.87767,                0.94749,                 0.9152,                0.29387,                0.79181,                0.78573,               0.001024,               0.001024,               0.001024
                     70,                0.22816,                0.44388,                0.78163,                0.86072,                0.92561,                0.95317,                0.92778,                0.27321,                0.71721,                0.78479,               0.000892,               0.000892,               0.000892
                     71,                0.21965,                0.42016,                0.77815,                0.88366,                 0.9208,                0.95347,                0.92504,                0.26622,                0.66288,                0.78358,                0.00076,                0.00076,                0.00076
                     72,                  0.226,                0.43182,                0.78281,                0.88571,                0.96419,                0.96546,                0.93656,                0.25722,                0.59736,                0.78254,               0.000628,               0.000628,               0.000628
                     73,                0.21814,                0.41549,                0.77161,                0.90914,                0.95508,                 0.9717,                0.94339,                0.25255,                0.55127,                0.78402,               0.000496,               0.000496,               0.000496
                     74,                0.23182,                0.42543,                0.80401,                0.90286,                0.96564,                0.97709,                0.95041,                0.25239,                0.51559,                0.78315,               0.000364,               0.000364,               0.000364
